	id	name	Q1	Q2	Q3	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12
64	214	Dominican Republic	0	0	0	0	0	1109	6972	17285	32568	69649	94715	112209	127018	143988	162496
65	218	Ecuador	0	0	0	0	0	2240	24934	39098	56432	85355	113767	137047	168192	192685	207084
66	222	El Salvador	0	0	0	0	1	710	5537	24985	68311	94078	98939	103198	107555	115911	127972
67	226	Equatorial Guinea	0	0	0	0	0	32	395	2517	6438	16632	25729	29077	33445	38405	43772
68	231	Ethiopia	0	0	0	0	0	26	131	1172	5846	17530	52131	75368	96169	110074	120989
69	232	Eritrea	0	0	0	0	0	15	39	39	203	279	319	375	463	577	877
70	233	Estonia	-0.820471658	-5.493447446	3.255995705	0	1	745	1689	1869	1989	2064	2375	3371	4905	12308	23309
71	234	Faroe Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	238	Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	239	South Georgia and the South Sandwich Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	242	Fiji	0	0	0	0	0	5	18	18	18	27	28	32	34	42	46
75	246	Finland	-1.50679324	-3.89091197	3.272105762	1	3	1418	4995	6859	7214	7432	8086	9992	16113	24912	34084
76	248	?…land Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	250	France	-5.894380657	-13.789130228	18.667076819	5	100	52278	168861	190975	204244	227239	321160	605893	1414364	2276874	2562615
78	254	French Guiana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	258	French Polynesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	260	French Southern Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	262	Djibouti	0	0	0	0	0	30	1089	3354	4682	5084	5387	5416	5561	5679	5789
82	266	Gabon	0	0	0	0	0	16	276	2655	5394	7352	8533	8766	8968	9214	9469
83	268	Georgia	0	0	0	0	1	110	539	783	928	1168	1487	6192	38936	135584	214871
84	270	Gambia	0	0	0	0	0	4	11	25	49	498	2963	3579	3672	3742	3791
85	275	Palestinian Territory, Occupied	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	276	Germany	-1.897193488	-9.793281077	8.480305474	5	79	71808	163009	183410	195418	210399	244802	292913	531790	1069912	1604129
87	288	Ghana	0	0	0	0	0	161	2074	8070	17741	35501	44298	46626	48055	51667	54043
88	292	Gibraltar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	296	Kiribati	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	300	Greece	0.129790373	-14.14776204	2.290037872	0	4	1314	2591	2917	3409	4477	10317	18475	39251	105271	133365
91	304	Greenland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	308	Grenada	0	0	0	0	0	9	20	23	23	24	24	24	28	41	105
93	312	Guadeloupe	0	0	0	0	0	38	599	5087	18096	49789	74074	91746	107939	122062	134256
94	316	Guam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	320	Guatemala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	324	Guinea	0	0	0	0	0	22	1495	3706	5391	7308	9409	10652	12072	13119	13598
97	328	Guyana	0	0	0	0	0	12	82	153	245	413	1306	2894	4162	5406	6258
98	332	Haiti	0	0	0	0	0	15	81	2124	5975	7424	8224	8766	9057	9294	9805
99	334	Heard Island and McDonald Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	336	Holy See (Vatican City State)	0	0	0	0	0	6	11	12	12	12	12	12	27	27	27
101	340	Honduras	0	0	0	0	0	141	771	5202	19558	42014	61014	76900	96888	108253	118036
102	344	Hong Kong	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	348	Hungary	-0.351820843	-14.5825665	11.38472413	0	0	492	2775	3876	4155	4505	6139	26461	75321	217122	308262
104	352	Iceland	-7.600387833	-7.314675727	2.58498745	0	1	1135	1797	1806	1824	1885	2107	2728	4865	5392	5683
105	356	India	0.65894	-25.2481	21.94015	1	3	1397	34863	190609	585481	1695988	3691166	6312584	8184082	9462809	10123778
106	360	Indonesia	-0.688299374	-6.947945723	3.100770289	0	0	1528	10118	26473	56385	108376	174796	287008	410088	538883	685639
107	364	Iran, Islamic Republic of	0	0	0	0	593	44605	94640	151466	227662	304204	375212	457219	612772	962070	1177004
108	368	Iraq	0	0	0	0	13	694	2085	6439	49109	124609	234934	362981	472630	552549	587676
109	372	Ireland	-3.527067979	-3.200561874	11.053229439	0	1	3235	20612	24990	25473	26065	28811	36155	61456	72544	82155
110	376	Israel	-1.788597125	-8.4515864	8.374901942	0	6	5717	15896	17079	25438	71734	116906	247411	314349	337191	385022
111	380	Italy	-5.494567729	-12.993646373	15.893958978	2	1128	105792	205463	232997	240578	247537	269214	314861	679430	1601554	1991278
112	384	C??te d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	388	Jamaica	0	0	0	0	0	36	422	586	702	878	2459	6482	9094	10763	12423
114	392	Japan	-0.538012647	-8.261777428	5.295470884	15	245	2255	14284	16751	18615	36234	68396	83591	101327	148962	207007
115	398	Kazakhstan	0	0	0	0	0	343	3402	10858	22308	90367	130673	140707	149699	174563	194257
116	400	Jordan	0	0	0	0	0	274	453	739	1132	1193	2034	11825	72607	219430	281983
117	404	Kenya	0	0	0	0	0	59	396	1962	6366	20636	34201	38529	55192	83618	95195
118	408	Korea, Democratic People's Republic of	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	410	Korea, Republic of	-1.281701518	-3.153851888	2.136144877	0	0	0	0	0	0	0	0	0	0	0	0
120	414	Kuwait	0	0	0	0	45	289	4024	27043	46195	66957	85109	105182	125926	142635	148773
121	417	Kyrgyzstan	0	0	0	0	0	107	746	1748	5506	35805	43898	46669	58878	73178	79659
122	418	Lao People's Democratic Republic	0	0	0	0	0	9	19	19	19	20	22	23	24	39	41
123	422	Lebanon	0	0	0	0	0	398	858	1066	1118	1231	1396	1824	5894	17075	33484
124	426	Lesotho	0	0	0	0	4	470	725	1220	1778	4555	17308	39634	81228	127944	163225
125	428	Latvia	-2.267312198	-7.076491025	7.130099448	0	0	0	0	2	27	604	1085	1595	1953	2109	2725
126	430	Liberia	0	0	0	0	0	3	141	288	780	1186	1304	1343	1426	1595	1779
127	434	Libya	0	0	0	0	0	10	61	156	824	3621	13966	34525	61095	82809	96346
128	438	Liechtenstein	0	0	0	0	0	68	82	82	82	88	107	118	533	1270	1858
129	440	Lithuania	-0.026924279	-5.91185151	3.799421107	0	1	537	1385	1675	1817	2075	2906	4693	14824	61325	120094
130	442	Luxembourg	-1.45679319	-7.410043211	9.843745489	0	1	2178	3784	4018	4299	6695	6625	8509	17134	34678	45209
131	446	Macao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	450	Madagascar	0	0	0	0	0	57	128	771	2214	10868	14863	16408	17111	17341	17633
133	454	Malawi	0	0	0	0	0	0	37	284	1224	4078	5566	5773	5930	6028	6261
134	458	Malaysia	0	0	0	8	25	2766	6002	7819	8639	8976	9340	11224	31548	65697	98737
135	462	Maldives	0	0	0	0	0	18	468	1773	2361	3793	7804	10291	11659	13011	13537
136	466	Mali	0	0	0	0	0	28	490	1265	2181	2535	2776	3118	3554	4710	6347
