	id	name	Q1	Q2	Q3
165	574	Norfolk Island	0	0	0
166	578	Norway	-1.502753858	-4.663954097	4.605174619
167	580	Northern Mariana Islands	0	0	0
168	581	United States Minor Outlying Islands	0	0	0
169	583	Micronesia, Federated States of	0	0	0
170	584	Marshall Islands	0	0	0
171	585	Palau	0	0	0
172	586	Pakistan	0	0	0
173	591	Panama	0	0	0
174	598	Papua New Guinea	0	0	0
175	600	Paraguay	0	0	0
176	604	Peru	0	0	0
177	608	Philippines	0	0	0
178	612	Pitcairn	0	0	0
179	616	Poland	-0.26103648	-9.000662267	7.878236969
180	620	Portugal	-3.954021598	-13.897573882	13.325471392
181	624	Guinea-Bissau	0	0	0
182	626	Timor-Leste	0	0	0
183	630	Puerto Rico	0	0	0
184	634	Qatar	0	0	0
185	638	Réunion	0	0	0
186	642	Romania	0.000919282	-12.191641042	5.555162965
187	643	Russian Federation	-0.477340472	-2.832359761	0.696599551
188	646	Rwanda	0	0	0
189	652	Saint Barthélemy	0	0	0
190	654	Saint Helena, Ascension and Tristan da Cunha	0	0	0
191	659	Saint Kitts and Nevis	0	0	0
192	660	Anguilla	0	0	0
193	662	Saint Lucia	0	0	0
194	663	Saint Martin (French part)	0	0	0
195	666	Saint Pierre and Miquelon	0	0	0
196	670	Saint Vincent and the Grenadines	0	0	0
197	674	San Marino	0	0	0
198	678	Sao Tome and Principe	0	0	0
199	682	Saudi Arabia	-0.90199214	-4.906523369	1.199999992
200	686	Senegal	0	0	0
201	688	Serbia	0	0	0
202	690	Seychelles	0	0	0
203	694	Sierra Leone	0	0	0
204	702	Singapore	0	0	0
205	703	Slovakia	-5.077927914	-8.300909507	11.641680353
206	704	Viet Nam	0	0	0
207	705	Slovenia	-4.660072286	-9.788389611	12.405556548
208	706	Somalia	0	0	0
209	710	South Africa	-0.422548271	-16.641962996	13.530993656
210	716	Zimbabwe	0	0	0
211	724	Spain	-5.249658572	-17.791879065	16.69809828
212	728	South Sudan	0	0	0
213	729	Sudan	0	0	0
214	732	Western Sahara	0	0	0
215	740	Suriname	0	0	0
216	744	Svalbard and Jan Mayen	0	0	0
217	748	Swaziland	0	0	0
218	752	Sweden	0.332241724	-7.950005454	4.930314681
219	756	Switzerland	-1.731200029	-7.028700796	7.166023226
220	760	Syrian Arab Republic	0	0	0
221	762	Tajikistan	0	0	0
222	764	Thailand	0	0	0
223	768	Togo	0	0	0
224	772	Tokelau	0	0	0
225	776	Tonga	0	0	0
226	780	Trinidad and Tobago	0	0	0
227	784	United Arab Emirates	0	0	0
228	788	Tunisia	0.17856591	-10.783870904	15.564347437
229	792	Turkey	0	0	0
230	795	Turkmenistan	0	0	0
231	796	Turks and Caicos Islands	0	0	0
232	798	Tuvalu	0	0	0
233	800	Uganda	0	0	0
234	804	Ukraine	0	0	0
235	807	Macedonia, the former Yugoslav Republic of	0	0	0
236	818	Egypt	0	0	0
237	826	United Kingdom	-2.522693203	-19.810925559	15.50703357
238	831	Guernsey	0	0	0
239	832	Jersey	0	0	0
240	833	Isle of Man	0	0	0
241	834	Tanzania, United Republic of	0	0	0
242	840	United States	-1.262654605	-8.986116769	7.403491898
243	850	Virgin Islands, U.S.	0	0	0
244	854	Burkina Faso	0	0	0
245	858	Uruguay	0	0	0
246	860	Uzbekistan	0	0	0
247	862	Venezuela, Bolivarian Republic of	0	0	0
248	876	Wallis and Futuna	0	0	0
249	882	Samoa	0	0	0
250	887	Yemen	0	0	0
251	894	Zambia	0	0	0
